Student_Text,Sleep_Hours,Study_Hours,Actual_Risk_Level
"To be honest, not my best day, just feeling sluggish :(",4.5,7.5,1
Studying with my group was really productive.,6.5,3.5,0
Right now the upcoming exam is stressing me out a little.,5.0,7.5,1
"Feeling a bit tired today, lots of reading to do just saying.",5.0,7.0,1
Lately studying with my group was really productive...,8.5,5.5,0
My anxiety is through the roof because of finals :(,2.5,10.0,2
"To be honest, campus life is pretty chill right now man.",8.5,2.5,0
"Just finished my assignment, going to hang out with friends.",9.0,3.5,0
Studying with my group was really productive,7.0,5.5,0
"I just want to take my life, everything is pointless",3.5,11.5,3
"Lately i need coffee, i barely slept last night studying.",6.5,6.0,1
"To be honest, i feel totally hopeless about my gpa.",5.5,13.5,2
